55,48,59
176,128,38
74,189,3
11,103,72
118,60,35
5,147,3
30,143,65
159,46,44
149,196,29
79,158,11
43,85,14
136,69,69
36,27,67
190,27,50
132,12,8
202,149,37
124,22,16
159,54,0
47,16,22
198,174,23
83,114,25
91,169,6
76,127,43
177,107,40
206,118,33
147,106,0
33,166,4
52,30,68
94,11,64
105,200,71
191,109,36
112,53,39
171,100,65
141,185,15
139,56,63
170,35,26
71,5,29
204,52,20
139,50,72
7,194,16
87,15,1
21,195,56
46,31,66
43,40,57
153,67,12
92,96,50
135,29,61
209,69,78
189,101,51
121,112,52
96,125,53
93,136,62
94,149,54
55,111,54
63,91,28
204,84,47
151,160,75
158,30,30
146,95,19
16,5,76
26,77,62
94,114,64
205,121,56
73,90,78
26,83,5
183,81,65
7,99,72
168,198,54
176,106,73
