63,52,10
30,70,4
43,15,1
67,0,4
68,73,6
1,65,10
5,67,9
71,62,8
20,52,7
43,38,1
70,54,10
70,56,7
60,23,3
29,60,6
29,5,7
61,70,7
71,49,5
68,12,10
72,70,5
46,45,1
18,41,10
60,64,8
59,2,6
28,45,10
26,31,1
29,11,7
57,29,7
24,73,4
36,70,7
20,44,5
42,5,1
53,21,1
18,65,5
16,35,5
18,9,0
17,26,1
53,16,4
25,11,10
25,6,6
65,23,2
32,1,5
35,20,3
7,49,5
7,15,10
58,30,5
45,34,0
35,65,9
50,22,0
2,6,8
48,23,9
54,51,4
49,67,2
59,56,2
53,50,10
34,26,1
73,22,3
69,31,3
41,54,0
70,25,2
35,49,10
63,23,0
71,31,4
32,3,4
